# timestamp[secs] tx ty tz qx qy qz qw
0.0 261.41669 -288.38599 17.69874 -0.00399 -0.04541 -0.4982 0.86586
2.01719999997294e-07 261.79855 -289.00827 17.75496 -0.00449 -0.04511 -0.50003 0.86482
4.0344000000186497e-07 262.20728 -289.69656 17.811 -0.00482 -0.0447 -0.50195 0.86373
6.051599999991601e-07 262.63995 -290.45007 17.87576 -0.00547 -0.04453 -0.50404 0.86252
8.06879999996454e-07 263.11713 -291.27341 17.94497 -0.00614 -0.04453 -0.50633 0.86117
1.00860000000102e-06 263.62253 -292.16006 18.01257 -0.00718 -0.04471 -0.50878 0.8597
1.21031899999798e-06 264.15854 -293.13248 18.10834 -0.00802 -0.04503 -0.5113 0.85819
1.4120389999952801e-06 264.72473 -294.17725 18.20271 -0.00824 -0.04468 -0.5135 0.85689
1.6137589999998501e-06 265.32205 -295.29901 18.30493 -0.00774 -0.0441 -0.51513 0.85594
1.8154789999971399e-06 265.92227 -296.48535 18.4179 -0.00646 -0.04352 -0.51564 0.85567
2.01719900000171e-06 266.56915 -297.71069 18.53572 -0.00572 -0.04262 -0.51483 0.85621
2.21891799999867e-06 267.22333 -298.9422 18.64758 -0.00536 -0.04153 -0.51284 0.85746
2.42063799999596e-06 267.88959 -300.17398 18.76318 -0.00518 -0.04072 -0.50958 0.85945
2.62235800000053e-06 268.57968 -301.41174 18.86049 -0.00507 -0.04022 -0.50458 0.86242
2.82407799999783e-06 269.31104 -302.66901 18.97366 -0.00485 -0.03941 -0.49642 0.86717
3.0257980000024e-06 270.13318 -303.9624 19.06992 -0.00421 -0.03772 -0.48427 0.8741
3.22751799999969e-06 271.00677 -305.23996 19.18848 -0.00456 -0.03573 -0.46852 0.88272
3.4292379999969904e-06 271.94266 -306.52594 19.27169 -0.00463 -0.03662 -0.44967 0.89243
3.63095700000122e-06 272.98325 -307.78696 19.3876 -0.00353 -0.03678 -0.42812 0.90297
3.83267699999851e-06 274.10025 -309.0267 19.50671 -0.0033 -0.03654 -0.40392 0.91406
4.03439699999581e-06 275.30548 -310.23242 19.61123 -0.00203 -0.03538 -0.37777 0.92522
4.23611700000038e-06 276.60434 -311.39139 19.72881 -0.00233 -0.0349 -0.35136 0.93559
